Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Jermaine,Taylor",Hou,28,22,31,109.7,0.399,0.46,4.1,0.5,1.9
"Jeff,Teague",Atl,22,21,71,106.6,0.412,0.459,3.2,1.7,2.5
"Jason,Terry",Dal,31,32,77,109.7,0.503,0.552,16.6,3.8,6.1
"Jason,Thompson",Sac,31,23,75,109.7,0.473,0.518,12.5,1.7,7.7
"Jamaal,Tinsley",Mem,21,31,38,108.9,0.396,0.438,3.5,2.8,4.2
"Jason,Williams",Orl,33,34,82,105.9,0.542,0.555,6,3.6,4.8
"Jawad,Williams",Cle,23,26,54,107.7,0.466,0.496,4.1,0.6,2.3
"Julian,Wright",Nor,26,22,68,111.2,0.504,0.518,3.8,0.6,2.5
"Joe,Smith",Atl,30,34,64,107.3,0.402,0.453,3,0.3,1.9
"Kelenna,Azubuike",Gol,25,26,9,113.6,0.602,0.623,13.9,1.1,5
"Keith,Bogans",San,19,29,79,106.3,0.523,0.548,4.5,1.2,3.7
"Kwame,Brown",Det,25,27,48,110.3,0.5,0.47,3.3,0.5,2.9
"Kobe,Bryant",Lal,32,31,73,104.4,0.488,0.545,27,5,10.1
"Keyon,Dooling",Njn,26,29,53,114,0.489,0.519,6.9,2.5,3.6
"Kevin,Durant",Okc,21,21,82,103.4,0.514,0.606,30.1,2.8,9.4
"Kyrylo,Fesenko",Uta,23,23,49,105.7,0.547,0.533,2.6,0.3,1.6
"Kevin,Garnett",Bos,23,33,69,101.4,0.522,0.57,14.3,2.7,8.4
"Kirk,Hinrich",Chi,22,29,74,107.2,0.478,0.502,11.1,4.5,8.1
"Kris,Humphries",Dal,22,24,25,105,0.461,0.487,5.2,0.3,2.4
"Kris,Humphries",Njn,29,24,44,106.1,0.433,0.498,8.1,0.6,4.3
"Kyle,Korver",Uta,29,28,52,107.8,0.598,0.62,7.2,1.7,4
"Kevin,Love",Min,27,21,60,109.1,0.478,0.549,14,2.3,9
"Kyle,Lowry",Hou,27,23,68,109.1,0.436,0.536,9.1,4.5,7.3
"Kenyon,Martin",Den,27,32,59,104.2,0.466,0.487,11.8,1.8,8.3
"Kevin,Martin",Hou,25,26,23,111,0.473,0.581,20.9,2.2,5.9
"Kevin,Martin",Sac,22,26,22,112.5,0.453,0.533,19.7,2.6,7.3
"Kevin,Ollie",Okc,31,37,25,107.3,0.4,0.453,1.8,0.8,2
"Kendrick,Perkins",Bos,22,25,78,101.9,0.603,0.614,10.1,1,5.9
"Kenny,Thomas",Sac,24,32,26,108.3,0.486,0.509,1.6,0.6,2.9
"Kurt,Thomas",Mil,30,37,70,101.2,0.478,0.492,3,0.7,3.5
"Kyle,Weaver",Okc,31,23,12,103,0.47,0.505,3,0.9,2.5
"LaMarcus,Aldridge",Por,26,24,78,106.9,0.497,0.535,17.9,2.1,8.6
"Louis,Amundson",Pho,21,27,79,106.8,0.551,0.562,4.7,0.4,3
"Leandro,Barbosa",Pho,22,27,44,112.5,0.485,0.526,9.5,1.5,3.5
"Luol,Deng",Chi,34,24,70,105.9,0.482,0.531,17.6,2,8.2
"Luther,Head",Ind,26,27,47,111,0.497,0.53,7.6,1.5,3.5
"Larry,Hughes",Cha,27,30,14,102.9,0.397,0.467,8.1,2,4.6
"Larry,Hughes",Nyk,25,30,31,110.5,0.416,0.473,9.6,3.5,6.8
"Lindsey,Hunter",Chi,37,38,13,110.2,0.183,0.21,1,0.7,1.9
"LeBron,James",Cle,37,25,76,101.8,0.545,0.604,29.7,8.6,13.5
"Luc,Mbah,a,Moute",Mil,24,23,73,104.5,0.488,0.53,6.2,1.1,5.4
"Lamar,Odom",Lal,25,30,82,100.3,0.503,0.534,10.8,3.3,10
"Leon,Powe",Cle,22,26,20,103.7,0.429,0.515,4,0,0
"Luke,Ridnour",Mil,31,28,82,107.5,0.528,0.57,10.4,4,5.2
"Luis,Scola",Hou,24,29,82,107.1,0.514,0.55,16.2,2.1,8.4
"Luke,Walton",Lal,22,29,29,105.3,0.399,0.402,2.4,1.4,2.6
"Lou,Williams",Phi,25,23,64,112,0.521,0.576,14,4.2,7.1
"Malik,Allen",Den,31,31,51,109.6,0.401,0.431,2.1,0.3,1.6
"Marcus,Banks",Tor,31,28,22,112.8,0.582,0.635,5,1.2,2.4
"Matt,Barnes",Orl,31,29,81,102.6,0.546,0.576,8.8,1.7,6.2
"Michael,Beasley",Mia,33,21,78,103.3,0.463,0.505,14.8,1.3,6.3
"Marco,Belinelli",Tor,32,23,66,114.9,0.483,0.54,7.1,1.3,3.1
"Mike,Bibby",Atl,32,31,80,109.9,0.514,0.538,9.1,3.9,6.2
"Matt,Bonner",San,23,29,65,104.5,0.567,0.581,7,1,3.9
"Marcus,Camby",Por,32,35,23,99.4,0.497,0.511,7,1.5,8
"Marcus,Camby",Lac,29,35,51,101.8,0.469,0.497,7.7,3,10.4
"Mario,Chalmers",Mia,25,23,73,105.8,0.483,0.519,7.1,3.4,5.3
"Mardy,Collins",Lac,33,25,43,110.9,0.383,0.404,2.6,1,2.3
"Mike,Conley",Mem,24,22,80,111.5,0.494,0.526,12,5.3,7.4
"Marquis,Daniels",Bos,31,29,51,107.5,0.51,0.526,5.6,1.3,3.6
"Mike,Dunleavy",Ind,36,29,67,108.9,0.478,0.531,9.9,1.5,4.9
"Monta,Ellis",Gol,31,24,64,113.2,0.476,0.517,25.4,5.2,9.5
"Maurice,Evans",Atl,29,31,79,109.8,0.518,0.539,5.7,0.6,2.7
"Michael,Finley",Bos,26,36,21,108.6,0.615,0.608,5.2,1.1,3
"Michael,Finley",San,26,36,25,108.2,0.448,0.461,3.7,0.8,2.7
"Marc,Gasol",Mem,25,25,69,107.3,0.581,0.617,14.6,2.4,9.3
"Manu,Ginobili",San,27,32,75,104,0.514,0.584,16.5,4.9,8.1
"Marcin,Gortat",Orl,34,25,81,99,0.533,0.563,3.6,0.2,2.2
"Mike,Miller",Was,29,29,54,110.6,0.596,0.623,10.9,3.9,9.3
"Mikki,Moore",Gol,29,33,23,115.6,0.6,0.606,5,1.6,4.4
"Mehmet,Okur",Uta,31,30,73,105.1,0.512,0.562,13.5,1.6,6.9
"Morris,Peterson",Nor,26,32,46,112.5,0.488,0.503,7.1,0.9,3.7
"Mickael,Pietrus",Orl,26,27,75,103.7,0.54,0.555,8.7,0.7,3.6
"Micheal,Redd",Mil,23,30,18,106.1,0.394,0.444,11.9,2.1,5.5
"Marreese,Speights",Phi,26,22,62,109,0.479,0.525,8.6,0.6,3.4
"Marcus,Thornton",Nor,21,32,73,113.1,0.517,0.55,14.5,1.5,4.8
"Martell,Webster",Por,23,23,82,107.9,0.502,0.543,9.4,0.8,4
"Marcus,Williams",Mem,23,24,62,111.4,0.428,0.456,4.3,2.6,3.8
"Marvin,Williams",Atl,24,23,80,107.7,0.48,0.536,10.2,1.2,5.7
"Mo,Williams",Cle,25,27,70,106.6,0.539,0.583,15.7,5.1,8
"Nicolas,Batum",Por,23,21,37,106.7,0.619,0.646,10.1,1.2,4.8
"Nick,Collison",Okc,23,29,75,104.3,0.591,0.616,5.9,0.5,3.7
"Nene,Hilario",Den,22,27,82,104.8,0.587,0.63,13.8,2.5,8.5
"Nathan,Jawai",Min,31,23,39,112.1,0.441,0.485,3.2,0.6,2.6
"Nenad,Krstic",Okc,21,26,76,105.6,0.504,0.528,8.4,0.7,4.3
"Nazr,Mohammed",Cha,26,32,58,100.2,0.551,0.577,7.9,0.5,3.5
"Nate,Robinson",Bos,34,25,26,104.1,0.516,0.522,6.5,2,3.5
"Nate,Robinson",Nyk,31,25,30,113.7,0.528,0.552,13.2,3.7,6
"Nick,Young",Was,23,24,74,114.4,0.479,0.519,8.6,0.7,2.7
"Omri,Casspi",Sac,35,21,77,110.9,0.503,0.53,10.3,1.3,5.3
"O.J.,Mayo",Mem,25,22,82,112.1,0.516,0.551,17.5,3,7.6
"Oleksiy,Pecherov",Min,25,24,44,109.9,0.447,0.487,4.5,0.3,2
"Pau,Gasol",Lal,25,29,65,101.9,0.535,0.592,18.3,3.4,11.2
"Paul,Millsap",Uta,28,24,82,104,0.538,0.573,11.6,1.6,6.7
"Paul,Pierce",Bos,32,32,71,105.3,0.535,0.613,18.3,3.1,7.7
"Peja,Stojakovic",Nor,32,32,62,113.4,0.5,0.533,12.6,1.5,5.5
"Quentin,Richardson",Mia,36,29,76,104.6,0.558,0.572,8.9,1.3,5.6
"Quinton,Ross",Was,27,28,25,113.5,0.318,0.33,1.5,0.2,1.2
"Quinton,Ross",Dal,31,28,27,110.4,0.438,0.454,2,0.3,1.5
"Ray,Allen",Bos,21,34,80,108.3,0.551,0.601,16.3,2.6,6.6
"Rafer,Alston",Njn,25,33,27,112.4,0.394,0.436,9.7,3.9,6.8
"Rafer,Alston",Mia,33,33,25,107.1,0.444,0.456,6.6,2.9,5.5
"Ryan,Anderson",Orl,31,21,63,103,0.536,0.574,7.7,0.6,3
